year,state,registered_users,app_opens
2023,ladakh,110991,14522495
2023,punjab,8837408,177418342
2023,assam,5499650,590176321
2023,jharkhand,8609107,585808867
2023,odisha,14787083,929487633
2023,bihar,22796011,455886560
2023,kerala,10822723,116395880
2023,karnataka,37681426,2498025288
2023,chandigarh,654522,2001065
2023,telangana,26804259,1305656447
2023,himachal pradesh,2594668,111702044
2023,west bengal,26732895,321102681
2023,gujarat,23436230,918468944
2023,sikkim,252440,18927227
2023,nagaland,335936,35227154
2023,mizoram,138751,24403694
2023,chhattisgarh,7159660,678798431
2023,jammu & kashmir,1873039,134828711
2023,goa,892185,22829931
2023,arunachal pradesh,408273,88997458
2023,delhi,16480011,51049789
2023,uttarakhand,4464369,181738693
2023,puducherry,564431,3817041
2023,tamil nadu,27317599,991611987
2023,uttar pradesh,49829833,1731600947
2023,madhya pradesh,25042930,2945628722
2023,andhra pradesh,30240061,1427952434
2023,tripura,743024,30819207
2023,lakshadweep,7585,90501
2023,manipur,519799,14076037
2023,maharashtra,60766850,3363859330
2023,dadra & nagar haveli & daman & diu,546364,4086025
2023,meghalaya,322382,47337234
2023,andaman & nicobar islands,96329,14738676
2023,haryana,16314236,298037706
2023,rajasthan,29745609,4033000288
2023,ladakh,115736,26285520
2023,punjab,9197055,218492661
2023,assam,5749682,657069673
2023,jharkhand,8980709,657119942
2023,odisha,15420061,918449931
2023,bihar,23781971,556071386
2023,kerala,11237341,121310794
2023,karnataka,39122314,2521576765
2023,chandigarh,678662,1978988
2023,telangana,27814633,1339967792
2023,himachal pradesh,2706470,136774775
2023,west bengal,27827662,350862668
2023,gujarat,24396768,1057626015
2023,sikkim,262728,28470875
2023,nagaland,351024,33612080
2023,mizoram,145061,21868647
2023,chhattisgarh,7469508,749111705
2023,jammu & kashmir,1953132,209249141
2023,goa,926020,20219644
2023,arunachal pradesh,426410,106089520
2023,delhi,17103089,51415039
2023,uttarakhand,4645322,240804293
2023,puducherry,586550,4653693
2023,tamil nadu,28405436,1117719858
2023,uttar pradesh,51870932,2143192720
2023,madhya pradesh,26109033,3495164168
2023,andhra pradesh,31493897,1157440497
2023,tripura,774678,49942954
2023,lakshadweep,7912,294406
2023,manipur,541572,20694295
2023,maharashtra,63150997,3152984827
2023,dadra & nagar haveli & daman & diu,569035,4449513
2023,meghalaya,336282,75055865
2023,andaman & nicobar islands,100255,20545079
2023,haryana,16956489,327497074
2023,rajasthan,30997182,4359306863
2023,ladakh,120435,42636030
2023,punjab,9555997,337107656
2023,assam,5998586,962849913
2023,jharkhand,9360730,806517236
2023,odisha,16064459,1002230051
2023,bihar,24776510,623923391
2023,kerala,11669143,145044427
2023,karnataka,40634390,2284389284
2023,chandigarh,704144,1924922
2023,telangana,28896668,993742805
2023,himachal pradesh,2816046,189307777
2023,west bengal,28966414,473450373
2023,gujarat,25383429,1679035143
2023,sikkim,272829,34906306
2023,nagaland,366203,51985056
2023,mizoram,151378,29019443
2023,chhattisgarh,7779977,951586898
2023,jammu & kashmir,2031447,283204829
2023,goa,961831,24017714
2023,arunachal pradesh,444789,112236680
2023,delhi,17747167,49593289
2023,uttarakhand,4829992,217340168
2023,puducherry,607838,32182677
2023,tamil nadu,29452801,1831285792
2023,uttar pradesh,53799813,3620813944
2023,madhya pradesh,27078072,1780548760
2023,andhra pradesh,32658698,1310002959
2023,tripura,806344,43591962
2023,lakshadweep,8225,924554
2023,manipur,564130,25551545
2023,maharashtra,65422120,3694003155
2023,dadra & nagar haveli & daman & diu,590760,36579378
2023,meghalaya,349330,30357626
2023,andaman & nicobar islands,103978,9845960
2023,haryana,17556642,904482321
2023,rajasthan,32157348,1905645600
2023,ladakh,124828,7108123
2023,punjab,9898002,605806581
2023,assam,6234780,558041955
2023,jharkhand,9707336,658553048
2023,odisha,16680992,701305081
2023,bihar,25695856,1822737403
2023,kerala,12084974,747303653
2023,karnataka,42031396,2565539566
2023,chandigarh,727594,35719991
2023,telangana,29902636,1520428750
2023,himachal pradesh,2924952,163694473
2023,west bengal,30064546,1467442959
2023,gujarat,26312655,1950081065
2023,sikkim,282575,15838198
